CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81200400,-25.4338997893551,-49.3437087449233,3,08:25:00,96,82130162,-25.3808898753791,-49.2691345002354,SIM,08:30:00
82130162,-25.3808898753791,-49.2691345002354,3,08:31:00,96,80320110,-25.4631702181385,-49.2942522954363,SIM,08:37:00
80320110,-25.4631702181385,-49.2942522954363,3,08:38:00,96,81910160,-25.530759191602,-49.2694617027723,SIM,08:42:00
81910160,-25.530759191602,-49.2694617027723,3,08:43:00,36,81470255,-25.569630444458,-49.3374921110026,SIM,09:05:00
81470255,-25.569630444458,-49.3374921110026,3,09:06:00,96,82300430,-25.4211195918941,-49.3463656911546,SIM,09:15:00
82300430,-25.4211195918941,-49.3463656911546,3,09:16:00,96,81470290,-25.5737515550149,-49.3412589936849,SIM,09:27:00
81470290,-25.5737515550149,-49.3412589936849,3,09:28:00,96,80240550,-25.4533378888945,-49.3034312777902,SIM,09:35:00
80240550,-25.4533378888945,-49.3034312777902,3,09:36:00,96,80740199,-25.4437465384921,-49.3130473847111,SIM,09:36:00
80740199,-25.4437465384921,-49.3130473847111,3,09:37:00,96,81470346,-25.5796239000291,-49.33524810001,SIM,09:48:00
81470346,-25.5796239000291,-49.33524810001,3,09:49:00,96,81510390,-25.4685143295265,-49.2421165124832,SIM,09:57:00
81510390,-25.4685143295265,-49.2421165124832,3,09:58:00,96,82520095,-25.4146626252933,-49.2400308757049,SIM,10:01:00
82520095,-25.4146626252933,-49.2400308757049,3,10:02:00,36,81050610,-25.4838938211145,-49.3106146746474,SIM,10:35:00
81050610,-25.4838938211145,-49.3106146746474,3,10:36:00,96,82930000,-25.4522168930604,-49.2076848688181,SIM,10:41:00
82930000,-25.4522168930604,-49.2076848688181,3,10:42:00,96,81305650,-25.5010554166774,-49.3233459999556,SIM,10:51:00
81305650,-25.5010554166774,-49.3233459999556,3,10:52:00,96,81020150,-25.4852090685074,-49.2875810685635,SIM,10:54:00
81020150,-25.4852090685074,-49.2875810685635,3,10:55:00,96,82650320,-25.3737566254647,-49.2469140011033,SIM,11:02:00
82650320,-25.3737566254647,-49.2469140011033,3,11:03:00,96,82410316,-25.3849215000131,-49.328439749977,SIM,11:09:00
82410316,-25.3849215000131,-49.328439749977,3,11:10:00,96,81560730,-25.476983000057,-49.2242420001757,SIM,11:19:00
81560730,-25.476983000057,-49.2242420001757,3,11:20:00,96,81610090,-25.4829752828427,-49.2413676273212,SIM,11:21:00
81610090,-25.4829752828427,-49.2413676273212,3,11:22:00,36,81480160,-25.5588432106598,-49.3151440012031,SIM,11:57:00
81480160,-25.5588432106598,-49.3151440012031,3,11:58:00,96,81110070,-25.5038132404982,-49.2938690633352,SIM,12:01:00
81110070,-25.5038132404982,-49.2938690633352,3,12:02:00,96,81070000,-25.4763966710448,-49.3031041977101,SIM,12:03:00
81070000,-25.4763966710448,-49.3031041977101,3,12:04:00,96,81925578,-25.5519935625411,-49.267926124915,SIM,12:09:00
81925578,-25.5519935625411,-49.267926124915,3,12:10:00,96,81750200,-25.5157135001734,-49.243793374824,SIM,12:12:00
81750200,-25.5157135001734,-49.243793374824,3,12:13:00,96,81590576,-25.4942162501529,-49.2012669496276,SIM,12:15:00
81590576,-25.4942162501529,-49.2012669496276,3,12:16:00,96,82415070,-25.3666350000001,-49.3367376666649,SIM,12:28:00
82415070,-25.3666350000001,-49.3367376666649,3,12:29:00,96,80730270,-25.4395442941516,-49.3020722939492,SIM,12:34:00
80730270,-25.4395442941516,-49.3020722939492,3,12:35:00,96,82310380,-25.4271679351543,-49.3574755107166,SIM,12:38:00
82310380,-25.4271679351543,-49.3574755107166,3,12:39:00,36,80510325,-25.4198156998607,-49.2790781765687,SIM,12:50:00
80510325,-25.4198156998607,-49.2790781765687,3,12:51:00,96,81610220,-25.4840165002992,-49.2455067502822,SIM,12:56:00
81610220,-25.4840165002992,-49.2455067502822,3,12:57:00,96,81910030,-25.5361378385276,-49.2685374132639,SIM,13:01:00
81910030,-25.5361378385276,-49.2685374132639,3,13:02:00,96,81590045,-25.4936220026944,-49.1988741650016,SIM,13:06:00
81590045,-25.4936220026944,-49.1988741650016,3,13:07:00,96,81590340,-25.486945243492,-49.2043714494834,SIM,13:07:00
81590340,-25.486945243492,-49.2043714494834,3,13:08:00,96,81810492,-25.5044000000137,-49.2718504999625,SIM,13:12:00
81810492,-25.5044000000137,-49.2718504999625,3,13:13:00,96,82710320,-25.3550854904869,-49.2588717776273,SIM,13:22:00
82710320,-25.3550854904869,-49.2588717776273,3,13:23:00,96,81312000,-25.5030856483401,-49.3152229520216,SIM,13:34:00
81312000,-25.5030856483401,-49.3152229520216,3,13:35:00,96,82320460,-25.4077602271442,-49.3507954592113,SIM,13:41:00
82320460,-25.4077602271442,-49.3507954592113,3,13:42:00,96,82400000,-25.4008242454259,-49.335596235314,SIM,13:43:00
82400000,-25.4008242454259,-49.335596235314,3,13:44:00,96,81935446,-25.5561318634792,-49.2494041568186,SIM,13:56:00
81935446,-25.5561318634792,-49.2494041568186,3,13:57:00,36,81260160,-25.488209,-49.348703,SIM,14:17:00
81260160,-25.488209,-49.348703,3,14:18:00,96,81150330,-25.5222469145844,-49.3046045806688,SIM,14:21:00
81150330,-25.5222469145844,-49.3046045806688,3,14:22:00,96,81910390,-25.5316857069475,-49.261658650228,SIM,14:24:00
81910390,-25.5316857069475,-49.261658650228,3,14:25:00,96,80740620,-25.4417320478243,-49.3156172471767,SIM,14:31:00
80740620,-25.4417320478243,-49.3156172471767,3,14:32:00,96,81490562,-25.6007006282316,-49.3302336035246,SIM,14:43:00
81490562,-25.6007006282316,-49.3302336035246,3,14:44:00,96,81170065,-25.5110533750523,-49.3200841245732,SIM,14:49:00
81170065,-25.5110533750523,-49.3200841245732,3,14:50:00,96,81560480,-25.4932949091003,-49.2131369999224,SIM,14:56:00
81560480,-25.4932949091003,-49.2131369999224,3,14:57:00,96,80440020,-25.4428337956861,-49.300747838027,SIM,15:03:00
80440020,-25.4428337956861,-49.300747838027,3,15:04:00,96,81590210,-25.4814447782289,-49.198611250503,SIM,15:09:00
81590210,-25.4814447782289,-49.198611250503,3,15:10:00,96,82821016,-25.4270763750322,-49.209505500185,SIM,15:13:00
82821016,-25.4270763750322,-49.209505500185,3,15:14:00,36,81670260,-25.5039440665513,-49.2550349720709,SIM,15:32:00
81670260,-25.5039440665513,-49.2550349720709,3,15:33:00,96,80045265,-25.430376,-49.248243,SIM,15:37:00
80045265,-25.430376,-49.248243,3,15:38:00,96,81350713,-25.496557235688,-49.3371662352983,SIM,15:46:00
